"","Df","Chisq.","Pr..Chisq..","R2c","R2m"
"(Intercept)",1,913.551,0,0.82,0.094
"LC.author.coarse",1,8.828,0.003,0.82,0.094
"abundanceMethod",1,8.246,0.004,0.82,0.094
"PC1",1,0.813,0.367,0.82,0.094
"PC2",1,17.467,0,0.82,0.094
"(Intercept)1",1,564.178,0,0.754,0.061
"LC.author.coarse1",1,9.741,0.002,0.754,0.061
"abundanceMethod1",1,6.465,0.011,0.754,0.061
"PC11",1,0.222,0.638,0.754,0.061
"PC21",1,7.595,0.006,0.754,0.061
"(Intercept)2",1,1056.545,0,0.884,0.585
"LC.author.coarse2",1,1.686,0.194,0.884,0.585
"Covariate.Est.Shannon",1,0.089,0.765,0.884,0.585
"abundanceMethod2",1,1377.661,0,0.884,0.585
"PC12",1,3.249,0.071,0.884,0.585
"PC22",1,0.934,0.334,0.884,0.585
